Time;Component ID;Description;Monitor Tag;Processed Message;Message Size;Stream ID;Category;Message Identifier
0.40014525677937185;TEST ECU 10;Receive ClientHello from 'TEST ECU 11', Stream: '27';MonitorTags.CP_RECEIVE_CLIENT_HELLO;"(<TLSContentType.HANDSHAKE: 22>, [3, 3], 60, [[3, 3], 0.40003648177937184, b'\x8a\xcaP\xdd\x98/\nq\xb0Vjj\xc5\xac\x1c\xa1\x05\xf0Q\xc4\x80(;w\x96%\x89f', None, <components.security.ecu.software.impl_comm_module_tls.Wrapped object at 0x0000000005486438>, <CompressionMethod.NULL: 0>, [], 'TEST ECU 10', 27])";0;27;;2
0.40014525677937185;TEST ECU 10;Sending Server Hello to 'TEST ECU 11', Stream: '27';MonitorTags.CP_SEND_SERVER_HELLO;[[3, 3], b'p\xeb\x10\xeeY+\xda4f\xdd\x04\xed\xcd\x81&\x80\xa74\xc9\x16s\x1fW\x98\xd5\x1f\x1aV', 'ae2a03545e5a46ffa22302f48ba2eac3', <TLSCipherSuite.TLS_RSA_WITH_AES_128_CBC_SHA: 7>, <CompressionMethod.NULL: 0>, 27];100;27;;3
0.40014525677937185;TEST ECU 10;Sending Server Certificate to 'TEST ECU 11', Stream: '27';MonitorTags.CP_SEND_SERVER_CERTIFICATE;[<components.security.certification.certificates.EcuCertificate object at 0x000000000829DF60>, <components.security.ecu.software.impl_comm_module_tls.Wrapped object at 0x0000000008BB0160>, 27];2000;27;;4
0.40014525677937185;TEST ECU 10;Sending CertificateRequest to 'TEST ECU 11', Stream: '27';MonitorTags.CP_SEND_CERTIFICATE_REQUEST;<components.base.message.abst_bus_message.SegData object at 0x0000000008BB0320>;100;27;;7
0.40014525677937185;TEST ECU 10;Sending ServerHelloDone to 'TEST ECU 11', Stream: '27';MonitorTags.CP_SEND_SERVER_HELLO_DONE;[27];10;27;;8
0.40003648177937184;TEST ECU 11;Sending ClientHello to 'TEST ECU 10', Stream: '27';MonitorTags.CP_SEND_CLIENT_HELLO;"[[3, 3], 0.40003648177937184, b'\x8a\xcaP\xdd\x98/\nq\xb0Vjj\xc5\xac\x1c\xa1\x05\xf0Q\xc4\x80(;w\x96%\x89f', None, <components.security.ecu.software.impl_comm_module_tls.Wrapped object at 0x0000000005486438>, <CompressionMethod.NULL: 0>, [], 'TEST ECU 10', 27]";60;27;;2
0.40025403177937185;TEST ECU 11;Receive ServerHello from 'TEST ECU 10', Stream: '27' ;MonitorTags.CP_RECEIVE_SERVER_HELLO;(<TLSContentType.HANDSHAKE: 22>, [3, 3], 100, [[3, 3], b'p\xeb\x10\xeeY+\xda4f\xdd\x04\xed\xcd\x81&\x80\xa74\xc9\x16s\x1fW\x98\xd5\x1f\x1aV', 'ae2a03545e5a46ffa22302f48ba2eac3', <TLSCipherSuite.TLS_RSA_WITH_AES_128_CBC_SHA: 7>, <CompressionMethod.NULL: 0>, 27]);0;27;;3
0.40036280677937186;TEST ECU 11;Receive ServerCertificate from 'TEST ECU 10', Stream: '27';MonitorTags.CP_RECEIVE_SERVER_CERTIFICATE;(<TLSContentType.HANDSHAKE: 22>, [3, 3], 2000, [<components.security.certification.certificates.EcuCertificate object at 0x000000000829DF60>, <components.security.ecu.software.impl_comm_module_tls.Wrapped object at 0x0000000008BB0160>, 27]);0;27;;4
0.40047158177937187;TEST ECU 11;Receive Certificate Request from 'TEST ECU 10', Stream: '27';MonitorTags.CP_RECEIVE_CERTIFICATE_REQUEST;(<TLSContentType.HANDSHAKE: 22>, [3, 3], 100, [[<TLSCertificateType.ECC_SIGN: 2>, <TLSCertificateType.RSA_SIGN: 1>], [<enums.ecu_tls_structs.SignatureAndHashAlgorithm object at 0x00000000082914A8>, <enums.ecu_tls_structs.SignatureAndHashAlgorithm object at 0x0000000008BB0240>], [<CAEnum.CA_L1: 15>, <CAEnum.CA_L2: 16>, <CAEnum.CA_L3: 17>, <CAEnum.CA_L11: 18>, <CAEnum.CA_L12: 19>, <CAEnum.CA_L13: 20>, <CAEnum.CA_L21: 21>, <CAEnum.CA_L22: 22>, <CAEnum.CA_L23: 23>, <CAEnum.CA_L31: 24>, <CAEnum.CA_L32: 25>, <CAEnum.CA_L33: 26>, <CAEnum.CA_L311: 27>, <CAEnum.CA_L312: 28>, <CAEnum.CA_L313: 29>], 27]);0;27;;7
0.40058035677937187;TEST ECU 11;Receive ServerHelloDone from 'TEST ECU 10', Stream: '27' -> Start Certificate Validation;MonitorTags.CP_RECEIVE_SERVER_HELLO_DONE;(<TLSContentType.HANDSHAKE: 22>, [3, 3], 10, [27]);0;27;;8
